Action,Dealer Shown Card,Player Total,Hard Total,Soft Total,Hard Total Initial,Soft Total initial,Pairs
H,10,16,0,1,0,0,0
H,10,15,0,1,0,0,0
H,10,14,0,1,0,0,0
H,10,13,0,1,0,0,0
H,10,12,0,1,0,0,0
H,10,11,0,1,0,0,0
H,10,10,0,1,0,0,0
H,10,9,0,1,0,0,0
H,10,8,0,1,0,0,0
H,10,7,0,1,0,0,0
H,10,6,0,1,0,0,0
H,10,5,0,1,0,0,0
H,10,4,0,1,0,0,0
H,10,3,0,1,0,0,0
H,10,2,0,1,0,0,0
S,11,21,0,1,0,0,0
S,11,20,0,1,0,0,0
S,11,19,0,1,0,0,0
H,11,18,0,1,0,0,0
H,11,17,0,1,0,0,0
H,11,16,0,1,0,0,0
H,11,15,0,1,0,0,0
H,11,14,0,1,0,0,0
H,11,13,0,1,0,0,0
H,11,12,0,1,0,0,0
H,11,11,0,1,0,0,0
H,11,10,0,1,0,0,0
H,11,9,0,1,0,0,0
H,11,8,0,1,0,0,0
H,11,7,0,1,0,0,0
H,11,6,0,1,0,0,0
H,11,5,0,1,0,0,0
H,11,4,0,1,0,0,0
H,11,3,0,1,0,0,0
H,11,2,0,1,0,0,0
S,2,21,0,0,1,0,0
S,2,20,0,0,1,0,0
S,2,19,0,0,1,0,0
S,2,18,0,0,1,0,0
S,2,17,0,0,1,0,0
S,2,16,0,0,1,0,0
S,2,15,0,0,1,0,0
S,2,14,0,0,1,0,0
S,2,13,0,0,1,0,0
S,2,12,0,0,1,0,0
D,2,11,0,0,1,0,0
D,2,10,0,0,1,0,0
H,2,9,0,0,1,0,0
H,2,8,0,0,1,0,0
H,2,7,0,0,1,0,0
H,2,6,0,0,1,0,0
H,2,5,0,0,1,0,0
H,2,4,0,0,1,0,0
H,2,3,0,0,1,0,0
H,2,2,0,0,1,0,0
S,3,21,0,0,1,0,0
S,3,20,0,0,1,0,0
S,3,19,0,0,1,0,0
S,3,18,0,0,1,0,0
S,3,17,0,0,1,0,0
S,3,16,0,0,1,0,0
S,3,15,0,0,1,0,0
S,3,14,0,0,1,0,0
S,3,13,0,0,1,0,0
H,3,12,0,0,1,0,0
D,3,11,0,0,1,0,0
D,3,10,0,0,1,0,0
D,3,9,0,0,1,0,0
H,3,8,0,0,1,0,0
H,3,7,0,0,1,0,0
H,3,6,0,0,1,0,0
H,3,5,0,0,1,0,0
H,3,4,0,0,1,0,0
H,3,3,0,0,1,0,0
H,3,2,0,0,1,0,0
S,4,21,0,0,1,0,0
S,4,20,0,0,1,0,0
S,4,19,0,0,1,0,0
S,4,18,0,0,1,0,0
S,4,17,0,0,1,0,0
S,4,16,0,0,1,0,0
S,4,15,0,0,1,0,0
S,4,14,0,0,1,0,0
S,4,13,0,0,1,0,0
S,4,12,0,0,1,0,0
D,4,11,0,0,1,0,0
D,4,10,0,0,1,0,0
D,4,9,0,0,1,0,0
H,4,8,0,0,1,0,0
H,4,7,0,0,1,0,0
H,4,6,0,0,1,0,0
H,4,5,0,0,1,0,0
H,4,4,0,0,1,0,0
H,4,3,0,0,1,0,0
H,4,2,0,0,1,0,0
S,5,21,0,0,1,0,0
S,5,20,0,0,1,0,0
S,5,19,0,0,1,0,0
S,5,18,0,0,1,0,0
S,5,17,0,0,1,0,0
S,5,16,0,0,1,0,0
S,5,15,0,0,1,0,0
S,5,14,0,0,1,0,0
S,5,13,0,0,1,0,0
S,5,12,0,0,1,0,0
D,5,11,0,0,1,0,0
D,5,10,0,0,1,0,0
D,5,9,0,0,1,0,0
H,5,8,0,0,1,0,0
H,5,7,0,0,1,0,0
H,5,6,0,0,1,0,0
H,5,5,0,0,1,0,0
H,5,4,0,0,1,0,0
H,5,3,0,0,1,0,0
H,5,2,0,0,1,0,0
S,6,21,0,0,1,0,0
S,6,20,0,0,1,0,0
S,6,19,0,0,1,0,0
S,6,18,0,0,1,0,0
S,6,17,0,0,1,0,0
S,6,16,0,0,1,0,0
S,6,15,0,0,1,0,0
S,6,14,0,0,1,0,0
S,6,13,0,0,1,0,0
S,6,12,0,0,1,0,0
D,6,11,0,0,1,0,0
D,6,10,0,0,1,0,0
D,6,9,0,0,1,0,0
H,6,8,0,0,1,0,0
H,6,7,0,0,1,0,0
H,6,6,0,0,1,0,0
H,6,5,0,0,1,0,0
H,6,4,0,0,1,0,0
H,6,3,0,0,1,0,0
H,6,2,0,0,1,0,0
S,7,21,0,0,1,0,0
S,7,20,0,0,1,0,0
S,7,19,0,0,1,0,0
S,7,18,0,0,1,0,0
S,7,17,0,0,1,0,0
H,7,16,0,0,1,0,0
H,7,15,0,0,1,0,0
H,7,14,0,0,1,0,0
H,7,13,0,0,1,0,0
H,7,12,0,0,1,0,0
D,7,11,0,0,1,0,0
D,7,10,0,0,1,0,0
H,7,9,0,0,1,0,0
H,7,8,0,0,1,0,0
H,7,7,0,0,1,0,0
H,7,6,0,0,1,0,0
H,7,5,0,0,1,0,0
H,7,4,0,0,1,0,0
H,7,3,0,0,1,0,0
H,7,2,0,0,1,0,0
S,8,21,0,0,1,0,0
S,8,20,0,0,1,0,0
S,8,19,0,0,1,0,0
S,8,18,0,0,1,0,0
S,8,17,0,0,1,0,0
H,8,16,0,0,1,0,0
H,8,15,0,0,1,0,0
H,8,14,0,0,1,0,0
H,8,13,0,0,1,0,0
H,8,12,0,0,1,0,0
D,8,11,0,0,1,0,0
D,8,10,0,0,1,0,0
H,8,9,0,0,1,0,0
H,8,8,0,0,1,0,0
H,8,7,0,0,1,0,0
H,8,6,0,0,1,0,0
H,8,5,0,0,1,0,0
H,8,4,0,0,1,0,0
H,8,3,0,0,1,0,0
H,8,2,0,0,1,0,0
S,9,21,0,0,1,0,0
S,9,20,0,0,1,0,0
S,9,19,0,0,1,0,0
S,9,18,0,0,1,0,0
S,9,17,0,0,1,0,0
SUR,9,16,0,0,1,0,0
H,9,15,0,0,1,0,0
H,9,14,0,0,1,0,0
H,9,13,0,0,1,0,0
H,9,12,0,0,1,0,0
D,9,11,0,0,1,0,0
D,9,10,0,0,1,0,0
H,9,9,0,0,1,0,0
H,9,8,0,0,1,0,0
H,9,7,0,0,1,0,0
H,9,6,0,0,1,0,0
H,9,5,0,0,1,0,0
H,9,4,0,0,1,0,0
H,9,3,0,0,1,0,0
H,9,2,0,0,1,0,0
S,10,21,0,0,1,0,0
S,10,20,0,0,1,0,0
S,10,19,0,0,1,0,0
S,10,18,0,0,1,0,0
S,10,17,0,0,1,0,0
SUR,10,16,0,0,1,0,0
SUR,10,15,0,0,1,0,0
H,10,14,0,0,1,0,0
H,10,13,0,0,1,0,0
H,10,12,0,0,1,0,0
D,10,11,0,0,1,0,0
H,10,10,0,0,1,0,0
H,10,9,0,0,1,0,0
H,10,8,0,0,1,0,0
H,10,7,0,0,1,0,0
H,10,6,0,0,1,0,0
H,10,5,0,0,1,0,0
H,10,4,0,0,1,0,0
H,10,3,0,0,1,0,0
H,10,2,0,0,1,0,0
S,11,21,0,0,1,0,0
S,11,20,0,0,1,0,0
S,11,19,0,0,1,0,0
S,11,18,0,0,1,0,0
S,11,17,0,0,1,0,0
SUR,11,16,0,0,1,0,0
H,11,15,0,0,1,0,0
H,11,14,0,0,1,0,0
H,11,13,0,0,1,0,0
H,11,12,0,0,1,0,0
D,11,11,0,0,1,0,0
D,11,10,0,0,1,0,0
H,11,9,0,0,1,0,0
H,11,8,0,0,1,0,0
H,11,7,0,0,1,0,0
H,11,6,0,0,1,0,0
H,11,5,0,0,1,0,0
H,11,4,0,0,1,0,0
H,11,3,0,0,1,0,0
H,11,2,0,0,1,0,0
S,2,21,0,0,0,1,0
S,2,20,0,0,0,1,0
S,2,19,0,0,0,1,0
S,2,18,0,0,0,1,0
H,2,17,0,0,0,1,0
H,2,16,0,0,0,1,0
H,2,15,0,0,0,1,0
H,2,14,0,0,0,1,0
H,2,13,0,0,0,1,0
H,2,12,0,0,0,1,0
H,2,11,0,0,0,1,0
H,2,10,0,0,0,1,0
H,2,9,0,0,0,1,0
H,2,8,0,0,0,1,0
H,2,7,0,0,0,1,0
H,2,6,0,0,0,1,0
H,2,5,0,0,0,1,0
H,2,4,0,0,0,1,0
H,2,3,0,0,0,1,0
H,2,2,0,0,0,1,0
S,3,21,0,0,0,1,0
S,3,20,0,0,0,1,0
S,3,19,0,0,0,1,0
D,3,18,0,0,0,1,0
D,3,17,0,0,0,1,0
H,3,16,0,0,0,1,0
